feature,mean_abs_shap
twi,0.23193793
vrm,0.18755008
openness_negative,0.18398087
tri,0.17228296
convergence,0.14876695
ndvi,0.10833632
slope,0.101568766
valley_depth,0.10055034
hand,0.094588935
ndwi,0.083992906
flow_accumulation_mfd,0.07611569
bsi,0.060995586
tpi,0.053312242
s1_vh_db,0.046699174
svf,0.046318404
openness_positive,0.042702716
dev,0.039511908
ndbi,0.037712883
s1_vv_db,0.034530554
geomorphons,0.030250797
curvature,0.026506145
eastness,0.023575878
flow_accumulation,0.020285271
ndmi,0.018748919
aspect,0.0153885465
northness,0.014552396
flow_direction_dinf,0.014084084
s1_vv_vh_ratio,0.013864094
hillshade,0.010814445
flow_direction_d8,0.0049576457
mrvbf,0.00056097464
stream_network,0.00028071261
mrrtf,0.0
