geom,n,rmse_raw,rmse_corr,mae_raw,mae_corr,bias_raw,bias_corr,improve_pct
hollow,28521.0,2.8699201876642895,1.7635062395615408,1.3263990693739354,0.8081111979157122,0.9276866236297268,-0.007541584976729782,38.55208074630165
slope,27670.0,2.5152535415677946,1.433520298727975,1.190695631008664,0.7583134596328297,0.7901214869803452,0.0061549733127052204,43.006926536939076
spur,18145.0,3.6719153163282634,1.7904450489482742,1.721704915895822,0.9802975358111087,1.3037020621564208,0.011169879328253534,51.23947872690506
pit,1841.0,2.8536187474304664,1.5003543004644706,1.872242731439787,0.9451439520724914,0.9812192170659759,-0.03838723307847376,47.422748683037604
peak,1135.0,6.540405355697613,2.1518795083481335,3.8670742984840967,1.271703547713941,3.5335377737839386,-0.00712989851077397,67.098682859564
valley,114.0,4.616033346907045,2.521076694580062,2.26675427025176,1.229496018439679,-0.42808130423227203,-0.014084060144557101,45.38434831132017
footslope,64.0,5.7621094108649675,3.2480901418449535,2.5692351972482577,1.4099559007848286,-1.6534793536513737,-0.5480566314638748,43.630189740576746
shoulder,6.0,1.7308344817376662,0.8761342184059884,1.1585317445066146,0.6076530804462484,1.0040941954365945,0.3365199837699257,49.38082019683384
flat,5.0,0.18298281705237457,0.8331575857699239,0.13760484055175085,0.6890376555650732,-0.02273684756506782,-0.6890376555650732,-355.3201219606604
