feature,shap_mediterranean,shap_humid_temperate,delta_abs,ratio,rank_md,rank_ht,rank_shift
openness_negative,0.18398087,0.2929238,0.10894293809783936,1.5921427488512223,3,1,2
twi,0.23193793,0.26454937,0.032611444580383314,1.140604189148292,1,2,-1
vrm,0.18755008,0.24670139,0.05915130955116271,1.3153894125300438,2,3,-1
valley_depth,0.10055034,0.23965512,0.13910478216091154,2.383434229669552,8,4,4
convergence,0.14876695,0.19841903,0.049652084481048575,1.3337574943967634,5,5,0
tri,0.17228296,0.19772676,0.025443796334304797,1.1476860876682453,4,6,-2
hand,0.094588935,0.13238916,0.03780022301048279,1.3996262671789548,9,7,2
ndvi,0.10833632,0.12817329,0.01983697168319702,1.1831054597682202,6,8,-2
slope,0.101568766,0.10677035,0.005201585529121394,1.051212451760233,7,9,-2
flow_accumulation_mfd,0.07611569,0.10020887,0.024093181066570282,1.316533701088045,11,10,1
ndwi,0.083992906,0.0991094,0.015116490338462824,1.1799734174986496,10,11,-1
bsi,0.060995586,0.086110555,0.025114968635524752,1.411750591846511,12,12,0
tpi,0.053312242,0.07790102,0.024588778646095273,1.4612219956177284,13,13,0
svf,0.046318404,0.06859873,0.022280328352256774,1.48102539008591,15,14,1
dev,0.039511908,0.06576567,0.02625376343201828,1.6644519275560745,17,15,2
s1_vh_db,0.046699174,0.06419121,0.017492033289695737,1.3745683658065502,14,16,-2
openness_positive,0.042702716,0.060295545,0.017592828564723967,1.4119838317713553,16,17,-1
ndbi,0.037712883,0.05703127,0.01931838711656761,1.5122490135948399,18,18,0
s1_vv_db,0.034530554,0.053418305,0.018887750771184923,1.5469866128178809,19,19,0
geomorphons,0.030250797,0.041389156,0.011138359132936478,1.3682005182520143,20,20,0
curvature,0.026506145,0.03384784,0.007341693640213014,1.2769808148341832,21,21,0
eastness,0.023575878,0.029384896,0.005809018159172057,1.2463966838975014,22,22,0
ndmi,0.018748919,0.027621081,0.008872162098914147,1.473209260699998,24,23,1
flow_accumulation,0.020285271,0.019913564,-0.00037170749518489893,0.9816759906641179,23,24,-1
aspect,0.0153885465,0.018165762,0.0027772151049051293,1.1804728669406905,25,25,0
northness,0.014552396,0.017560434,0.003008037596372604,1.2067039404626292,26,26,0
flow_direction_dinf,0.014084084,0.017005527,0.002921443392029762,1.2074287111628816,27,27,0
s1_vv_vh_ratio,0.013864094,0.01581028,0.0019461851756391521,1.1403759362594592,28,28,0
hillshade,0.010814445,0.013651786,0.0028373413720655435,1.262365879346147,29,29,0
flow_direction_d8,0.0049576457,0.00647155,0.0015139043921010972,1.3053676046477256,30,30,0
mrvbf,0.00056097464,0.0009400728,0.0003790981758652782,1.6757848730296938,31,31,0
stream_network,0.00028071261,0.00037037296,8.966034987829564e-05,1.319402644143046,32,32,0
mrrtf,0.0,0.0,0.0,,33,33,0
